area_name,date,median,lower_90,upper_90,lower_50,upper_50,confidence
Greater Manchester,2020-01-22,1,1,1,1,1,1
Greater Manchester,2020-01-23,0.5,0,1,0,1,1
Greater Manchester,2020-01-24,0.5,0,1,0,1,1
Greater Manchester,2020-01-25,0,0,1,0,0,1
Greater Manchester,2020-01-26,0,0,1,0,0,1
Greater Manchester,2020-01-27,0,0,1,0,0,1
Greater Manchester,2020-01-28,0,0,1,0,0,1
Greater Manchester,2020-01-29,0,0,1,0,0,1
Greater Manchester,2020-01-30,0,0,1,0,0,1
Greater Manchester,2020-01-31,0,0,1,0,0,1
Greater Manchester,2020-02-01,0,0,1,0,0,1
Greater Manchester,2020-02-02,0,0,1,0,0,1
Greater Manchester,2020-02-03,0,0,1,0,0,1
Greater Manchester,2020-02-04,0,0,1,0,0,1
Greater Manchester,2020-02-05,0,0,1,0,0,1
Greater Manchester,2020-02-06,0,0,1,0,0,1
Greater Manchester,2020-02-07,0,0,1,0,0,1
Greater Manchester,2020-02-08,0,0,1,0,0,1
Greater Manchester,2020-02-09,0,0,1,0,0,1
Greater Manchester,2020-02-10,0,0,1,0,0,1
Greater Manchester,2020-02-11,0,0,1,0,0,1
Greater Manchester,2020-02-12,1,0,2,0,1,1
Greater Manchester,2020-02-13,0,0,2,0,0,1
Greater Manchester,2020-02-14,1,0,2,0,1,1
Greater Manchester,2020-02-15,1,0,2,0,1,1
Greater Manchester,2020-02-16,1,0,2,0,1,1
Greater Manchester,2020-02-17,1,0,3,0,1,1
Greater Manchester,2020-02-18,1,0,3,0,1,1
Greater Manchester,2020-02-19,2,0,4,1,2,1
Greater Manchester,2020-02-20,2,0,5,0,2,1
Greater Manchester,2020-02-21,3,0,5,1,3,1
Greater Manchester,2020-02-22,3,0,6,1,3,1
Greater Manchester,2020-02-23,4,0,7,1,4,1
Greater Manchester,2020-02-24,5,1,8,2,5,1
Greater Manchester,2020-02-25,6,2,10,3,6,1
Greater Manchester,2020-02-26,6,1,11,4,7,1
Greater Manchester,2020-02-27,7,1,12,4,8,1
Greater Manchester,2020-02-28,9,3,15,6,10,1
Greater Manchester,2020-02-29,10,3,16,7,12,1
Greater Manchester,2020-03-01,12,4,19,7,13,1
Greater Manchester,2020-03-02,14,5,22,8,15,1
Greater Manchester,2020-03-03,16,6,25,11,18,1
Greater Manchester,2020-03-04,19,9,29,13,21,1
Greater Manchester,2020-03-05,23,11,34,16,24,1
Greater Manchester,2020-03-06,26,14,39,20,29,1
Greater Manchester,2020-03-07,31,16,43,24,34,1
Greater Manchester,2020-03-08,36,19,49,28,40,1
Greater Manchester,2020-03-09,41,23,56,32,45,1
Greater Manchester,2020-03-10,46,29,63,37,51,1
Greater Manchester,2020-03-11,53,32,70,44,59,1
Greater Manchester,2020-03-12,61,41,80,51,67,1
Greater Manchester,2020-03-13,68,47,89,56,74,1
Greater Manchester,2020-03-14,77,52,97,67,86,1
Greater Manchester,2020-03-15,87,60,107,75,94,1
Greater Manchester,2020-03-16,98,69,121,84,105,1
Greater Manchester,2020-03-17,108,79,133,91,113,1
Greater Manchester,2020-03-18,119,88,143,103,126,1
Greater Manchester,2020-03-19,132,103,160,120,142,1
Greater Manchester,2020-03-20,143,115,171,130,152,1
Greater Manchester,2020-03-21,156,124,182,148,171,1
Greater Manchester,2020-03-22,167,137,195,152,175,1
Greater Manchester,2020-03-23,178,148,204,164,186,1
Greater Manchester,2020-03-24,189,158,216,174,198,1
Greater Manchester,2020-03-25,199,171,228,186,210,1
Greater Manchester,2020-03-26,210,179,236,199,222,1
Greater Manchester,2020-03-27,219,187,243,206,228,1
Greater Manchester,2020-03-28,226,196,251,210,233,1
Greater Manchester,2020-03-29,232,204,257,220,241,1
Greater Manchester,2020-03-30,236,205,261,225,246,1
Greater Manchester,2020-03-31,240,213,265,227,248,1
Greater Manchester,2020-04-01,242,217,268,225,247,1
Greater Manchester,2020-04-02,240,212,266,226,248,1
Greater Manchester,2020-04-03,238,213,265,225,247,1
Greater Manchester,2020-04-04,232,204,259,219,239,1
Greater Manchester,2020-04-05,223,194,246,210,230,1
Greater Manchester,2020-04-06,214,191,242,201,222,1
Greater Manchester,2020-04-07,204,180,230,193,213,1
Greater Manchester,2020-04-08,195,170,219,184,202,1
Greater Manchester,2020-04-09,188,164,211,174,193,1
Greater Manchester,2020-04-10,181,157,203,171,189,1
Greater Manchester,2020-04-11,175,151,196,167,185,1
Greater Manchester,2020-04-12,168.5,146,190,159,176,1
Greater Manchester,2020-04-13,163,140,182,153,170,1
Greater Manchester,2020-04-14,156,134,175,147,163,1
Greater Manchester,2020-04-15,150,129,168,139,155,1
Greater Manchester,2020-04-16,144,125,165,136,151,1
Greater Manchester,2020-04-17,139,119,159,130,146,1
Greater Manchester,2020-04-18,132,112,150,122,137,1
Greater Manchester,2020-04-19,127,106,144,119,134,1
Greater Manchester,2020-04-20,121,103,138,114,128,1
Greater Manchester,2020-04-21,116,99,132,105,119,1
Greater Manchester,2020-04-22,113,96,131,103,117,1
Greater Manchester,2020-04-23,112,93,128,102,116,1
Greater Manchester,2020-04-24,110,92,126,104,118,1
Greater Manchester,2020-04-25,107,87,122,98,111,1
Greater Manchester,2020-04-26,104,88,121,96,109,1
Greater Manchester,2020-04-27,101,82,116,91,105,1
Greater Manchester,2020-04-28,97,79,111,91,103,1
Greater Manchester,2020-04-29,95,77,109,85,98,1
Greater Manchester,2020-04-30,92.5,75,107,84,97,1
Greater Manchester,2020-05-01,91,73,104,84,96,1
